index,image_id,prompt,passage,sentence,model_id,human_label,gpt_label,
0,COCO_val2014_000000310196.jpg,Provide a concise description of the given image.,"The image captures a snowboarder skillfully riding down a snow-covered slope. The snowboarder is wearing a red jacket and is positioned in the middle of the scene. The snowboard is clearly visible beneath the snowboarder, as they glide down the hill. The slope is covered with a layer of snow, providing a perfect environment for snowboarding.",The image captures a snowboarder skillfully riding down a snow-covered slope.,llava-v1.5-7b,accurate,accurate,
1,COCO_val2014_000000310196.jpg,Provide a concise description of the given image.,"The image captures a snowboarder skillfully riding down a snow-covered slope. The snowboarder is wearing a red jacket and is positioned in the middle of the scene. The snowboard is clearly visible beneath the snowboarder, as they glide down the hill. The slope is covered with a layer of snow, providing a perfect environment for snowboarding.",The snowboarder is wearing a red jacket and is positioned in the middle of the scene.,llava-v1.5-7b,accurate,accurate,
2,COCO_val2014_000000310196.jpg,Provide a concise description of the given image.,"The image captures a snowboarder skillfully riding down a snow-covered slope. The snowboarder is wearing a red jacket and is positioned in the middle of the scene. The snowboard is clearly visible beneath the snowboarder, as they glide down the hill. The slope is covered with a layer of snow, providing a perfect environment for snowboarding.","The snowboard is clearly visible beneath the snowboarder, as they glide down the hill.",llava-v1.5-7b,inaccurate,inaccurate,
3,COCO_val2014_000000310196.jpg,Provide a concise description of the given image.,"The image captures a snowboarder skillfully riding down a snow-covered slope. The snowboarder is wearing a red jacket and is positioned in the middle of the scene. The snowboard is clearly visible beneath the snowboarder, as they glide down the hill. The slope is covered with a layer of snow, providing a perfect environment for snowboarding.","The slope is covered with a layer of snow, providing a perfect environment for snowboarding.",llava-v1.5-7b,accurate,accurate,
4,COCO_val2014_000000210789.jpg,Provide a concise description of the given image.,"The image features a woman and a young girl standing under a red and black umbrella, likely to protect themselves from the rain. The woman is holding the umbrella, while the little girl is standing next to her. They are both wearing shorts, suggesting that the weather is warm despite the rain.

In the background, there is a car parked, and another car can be seen further away. The scene appears to be a casual, everyday moment shared between the woman and the little girl.","The image features a woman and a young girl standing under a red and black umbrella, likely to protect themselves from the rain.",llava-v1.5-7b,accurate,accurate,
5,COCO_val2014_000000210789.jpg,Provide a concise description of the given image.,"The image features a woman and a young girl standing under a red and black umbrella, likely to protect themselves from the rain. The woman is holding the umbrella, while the little girl is standing next to her. They are both wearing shorts, suggesting that the weather is warm despite the rain.

In the background, there is a car parked, and another car can be seen further away. The scene appears to be a casual, everyday moment shared between the woman and the little girl.","The woman is holding the umbrella, while the little girl is standing next to her.",llava-v1.5-7b,accurate,accurate,
6,COCO_val2014_000000210789.jpg,Provide a concise description of the given image.,"The image features a woman and a young girl standing under a red and black umbrella, likely to protect themselves from the rain. The woman is holding the umbrella, while the little girl is standing next to her. They are both wearing shorts, suggesting that the weather is warm despite the rain.

In the background, there is a car parked, and another car can be seen further away. The scene appears to be a casual, everyday moment shared between the woman and the little girl.","They are both wearing shorts, suggesting that the weather is warm despite the rain.",llava-v1.5-7b,inaccurate,inaccurate,
7,COCO_val2014_000000210789.jpg,Provide a concise description of the given image.,"The image features a woman and a young girl standing under a red and black umbrella, likely to protect themselves from the rain. The woman is holding the umbrella, while the little girl is standing next to her. They are both wearing shorts, suggesting that the weather is warm despite the rain.

In the background, there is a car parked, and another car can be seen further away. The scene appears to be a casual, everyday moment shared between the woman and the little girl.","In the background, there is a car parked, and another car can be seen further away.",llava-v1.5-7b,accurate,accurate,
8,COCO_val2014_000000210789.jpg,Provide a concise description of the given image.,"The image features a woman and a young girl standing under a red and black umbrella, likely to protect themselves from the rain. The woman is holding the umbrella, while the little girl is standing next to her. They are both wearing shorts, suggesting that the weather is warm despite the rain.

In the background, there is a car parked, and another car can be seen further away. The scene appears to be a casual, everyday moment shared between the woman and the little girl.","The scene appears to be a casual, everyday moment shared between the woman and the little girl.",llava-v1.5-7b,accurate,accurate,
9,COCO_val2014_000000429109.jpg,Provide a concise description of the given image.,"The image depicts a busy city street with several buses and a truck driving down the road. There are three buses in the scene, with one on the left side, another in the middle, and the third on the right side of the street. A truck is also visible on the left side of the street.

There are multiple people walking along the sidewalk, with some closer to the buses and others further away. A bicycle can be seen parked on the right side of the street, and a traffic light is visible in the background. The scene captures the hustle and bustle of a typical urban environment.",The image depicts a busy city street with several buses and a truck driving down the road.,llava-v1.5-7b,inaccurate,inaccurate,
